,track_id,track_name,artists,track_genre,popularity,energy,tempo,valence,danceability,loudness,intensity,cluster
3974,4G3Dj555j7wWDZeisudkDH,Xtasy - Remix,Ravyn Lenae;Doechii,alternative,0,0.794,107.084,0.74,0.663,-7.793,{1},41
3975,0sNVZAkLao30zLfzJ9mbPI,Xtasy - Remix,Ravyn Lenae;Doechii,alternative,1,0.794,107.084,0.74,0.663,-7.793,{1},41
3976,4RlQGwLKkrQVIlPAPlOgGE,Sticky,Ravyn Lenae,alternative,0,0.846,120.021,0.572,0.713,-6.712,{2},41
4023,5Bv3hddlRFyhTcYtYeoXed,Naav (Chadhti Lehrein Laang Na Paye),Mohan,ambient,43,0.687,83.918,0.548,0.608,-7.083,{0},60
4126,6k7HtWuprjQmulpo4OpieI,Spiracle,Flower Face,ambient,57,0.612,79.01,0.24,0.342,-6.432,{0},60
4134,0YxrPdW9NpNFtqh7Fw0rva,Raise a Hallelujah - Live,Bethel Music;Jonathan David Helser;Melissa Helser,ambient,63,0.866,81.972,0.291,0.452,-4.431,"{0, 1}",60
4206,3lB90ecwKTc3SHHUadsv2E,Ovotaar,aswekeepsearching;Shankuraj Konwar,ambient,26,0.774,95.964,0.156,0.449,-6.135,{1},60
4278,3ZzhV6JIDKWvWR7wiKWD0C,La femme d'argent,Air,ambient,61,0.737,79.82,0.558,0.517,-8.189,{0},60
4333,5AxeQ8XbDArsfoUG5gFF0Q,Spiracle,Flower Face,ambient,21,0.612,79.01,0.24,0.342,-6.432,{0},60
4440,4eLKR4wt81H4aso4KyAkO1,Lion and the Lamb,Bethel Music;Leeland Mooring,ambient,53,0.734,90.019,0.267,0.455,-7.422,{1},60
4471,1dj44gqRjWmPtoj495glKe,"Caught In Time, So Far Away",You'll Never Get to Heaven,ambient,54,0.813,106.962,0.49,0.623,-5.385,{1},60
4493,3ExKJt4K8duUfEG49QWzPi,This Is Amazing Grace,Bethel Music;Jeremy Riddle,ambient,51,0.735,98.923,0.145,0.437,-6.606,{1},60
4683,4m8ttWM8IKXyhpv89E867J,Cherry Blossom Girl,Air,ambient,55,0.76,75.012,0.504,0.436,-7.906,{0},60
4711,1hYKf70p3y7dX5Na2qDARt,Dissonance,Hammock,ambient,42,0.668,86.021,0.506,0.423,-7.927,{0},60
4755,5uy5YwhwkiuihoJQdEiuws,Pulsing,Fejká,ambient,48,0.903,119.99,0.0364,0.488,-10.355,{1},60
4811,64ffnT5MhVJ6UpecXmDjou,I Am a Soul,Nibana,ambient,28,0.858,99.986,0.0336,0.164,-8.141,{1},60
4949,2LsHpAMrxdf2YdvjfeJGkn,"Toxygene - 7"" Edit",The Orb,ambient,24,0.728,111.04,0.492,0.538,-8.653,{1},60
4996,5tR13oIwi5J3elcTZPTTIU,Kelly Watch the Stars,Air,ambient,55,0.743,109.837,0.226,0.516,-8.47,{1},60
5000,1gUAX2ImxDsB3YDcyxMXlB,カワキヲアメク,美波,anime,71,0.846,129.138,0.524,0.541,-2.729,{2},98
5001,1di1C0QI6Y92yZPYn6XYAZ,シルエット,KANA-BOON,anime,73,0.934,91.481,0.384,0.436,-2.685,{1},87
5002,3khEEPRyBeOUabbmOPJzAG,KICK BACK,Kenshi Yonezu,anime,83,0.941,101.921,0.292,0.577,-5.17,{1},87
5003,1rN9QoVxw5U7TJkyaUR8C1,unravel,TK from Ling tosite sigure,anime,73,0.889,135.014,0.332,0.508,-2.755,{2},87
5004,23phSRwoMy48rwFpmuAP8q,残酷な天使のテーゼ,Yoko Takahashi,anime,60,0.773,128.162,0.502,0.691,-5.244,{2},98
5005,6y4GYuZszeXNOXuBFsJlos,Kaikai Kitan,Eve,anime,75,0.911,92.502,0.606,0.584,-3.515,{1},87
5006,364JzOajs76bJymjHm3sVY,ピースサイン,Kenshi Yonezu,anime,71,0.935,100.003,0.618,0.593,-3.853,{1},87
5007,0UzymivvUH5s8z4PeWZJaK,FEVER,ENHYPEN,anime,77,0.713,72.999,0.471,0.6,-5.079,{0},24
5010,74sYtRs4LCDIpdBP8xDMSP,人芝居,渕上 舞,anime,58,0.87,119.99,0.86,0.674,-3.607,"{1, 2}",98
5011,3YOZLPRiTuYgItSGO41gPT,FLY HIGH!!,BURNOUT SYNDROMES,anime,66,0.961,94.466,0.355,0.475,-1.434,{1},87
5014,5RXmLhscstsdvWPN0XtUa0,Black Catcher,Vickeblanka,anime,68,0.892,100.04,0.665,0.586,-5.259,{1},98
5015,0qMip0B2D4ePEjBJvAtYre,紅蓮華,LiSA,anime,74,0.977,134.938,0.263,0.541,-2.828,{2},87
5016,5kKloaKFvAuDNFi8m52hxy,NARUTO Main Theme,MUSASHI PROJECT,anime,56,0.766,119.974,0.383,0.525,-8.448,"{1, 2}",111
5020,17VP4tofJ3evJbtY8Tk1Qi,il vento d'oro,Yugo Kanno,anime,66,0.915,134.947,0.582,0.491,-4.834,{2},87
5023,7uF1nTuJRGUlZzODPcmPva,Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),KOHTA YAMAMOTO,anime,58,0.703,101.921,0.0786,0.214,-9.558,{1},111
5024,0OGw7V8wAI6OsZIQ12JkTP,Black Rover,Vickeblanka,anime,66,0.937,102.073,0.529,0.592,-4.905,{1},87
5027,1wcr8DjnN59Awev8nnKpQ4,Drunk-Dazed,ENHYPEN,anime,75,0.869,132.889,0.453,0.599,-5.174,{2},98
5028,3nV2Yjy2aJjUl74p0tEfWf,Make the change,ENHYPEN,anime,61,0.767,110.994,0.855,0.807,-3.643,"{1, 2}",98
5029,70p3HYq9iHZisJqpDmWd1U,Guren no Yumiya,Linked Horizon,anime,66,0.952,90.365,0.332,0.455,-6.382,{1},87
5030,66wQlkJP6zHNOzRkyo5yZS,One In A Billion,ENHYPEN,anime,69,0.952,119.957,0.446,0.719,-3.058,"{1, 2}",98
5033,5deMG1Ko0ycpPVYPwW0yi8,Dance In The Game,ZAQ,anime,65,0.927,134.979,0.856,0.599,-3.115,{2},98
5038,5H9VMgnzuU62NYzWdJlqae,Bars No Jutsu,Louis Capone,anime,62,0.766,133.924,0.636,0.694,-7.179,{2},98
5040,3OC2C8IpFhbUJTeMe55QYn,ParadoXXX Invasion,ENHYPEN,anime,72,0.863,94.952,0.72,0.727,-3.181,{1},98
5042,2y7f8qkrgIqY5KsfPNcuix,Black Catcher,Vickeblanka,anime,66,0.894,100.026,0.642,0.592,-4.71,{1},98
5043,7ecbsiAQ6PNdiAq0hplVZo,Blessed-Cursed,ENHYPEN,anime,71,0.886,127.098,0.401,0.604,-3.523,{2},87
5045,4Av96uADG9Xi7iJFHrbqFJ,lovin',Mrs. GREEN APPLE,anime,1,0.94,123.572,0.858,0.44,-2.057,{2},87
5048,1WYDaSAGpAqleq0FKu0a3m,Enemy - Epic Version (from Arcane League of Legends),Samuel Kim,anime,57,0.687,77.093,0.187,0.489,-7.762,{0},24
5049,18b3M1rEHsIHAqyrUxttnq,silent,SEKAI NO OWARI,anime,0,0.623,87.794,0.397,0.435,-5.299,{0},24
5050,64yajM6CxtLghmgB53VeXT,インフェルノ,Mrs. GREEN APPLE,anime,69,0.931,92.466,0.695,0.529,-1.538,{1},87
5055,3f3FDZajRpcLQGln7OZqdi,asphyxia,Cö Shu Nie,anime,63,0.913,82.176,0.392,0.181,-3.318,"{0, 1}",87
5060,4AElkruOc9gECdltSuV3JN,小喋日和,FantasticYouth,anime,62,0.803,110.009,0.889,0.718,-4.983,"{1, 2}",98
5063,5Xs2wcsqZwZ6bfLSpAs08G,紅蓮華 -TV ver.-,LiSA,anime,60,0.973,135.012,0.632,0.559,-3.386,{2},87
5064,2zwZPlMKb1vaFcQK6PpMtP,センチメートル,the peggies,anime,62,0.922,139.962,0.828,0.564,-2.303,{2},98
5066,0hHc2igYYlSUyZdByauJmB,You Say Run,Yuki Hayashi,anime,62,0.947,87.406,0.352,0.325,-5.102,"{0, 1}",87
5069,4dHOnPucB5VBYq3gjRtYy9,You See Big Girl / T:T,Hiroyuki Sawano,anime,62,0.679,86.867,0.227,0.186,-7.884,{0},24
5070,2vDPSojrX4aL7aiCPD7kja,Harukamirai,KANKAKU PIERO,anime,63,0.99,91.006,0.458,0.459,-1.083,{1},87
5072,2lXu7SNGIKHJ8EV2EetYFa,命に嫌われている。,majiko,anime,61,0.833,99.985,0.525,0.727,-3.384,{1},98
5078,0R0EnWSJ1bqeWXDdc7Vt7x,"Overtaken - Epic Version (from ""One Piece"")",Samuel Kim,anime,53,0.775,106.002,0.452,0.675,-8.091,{1},111
5079,7JoZiEMrwjpD18krCV8Czo,FAIRY TAIL Main Theme,Yasuharu Takanashi,anime,56,0.9,110.008,0.366,0.462,-3.578,"{1, 2}",87
5082,1asnqohK6MboIkoR5R3Osz,L no Theme,Hideki Taniuchi,anime,49,0.827,135.021,0.457,0.674,-6.99,{2},111
5083,2vOAHp8PBBFYqvQUWSoITY,インフェルノ,Mrs. GREEN APPLE,anime,68,0.918,92.504,0.662,0.533,-2.095,{1},87
5085,6iaQi9uPzHoXLMo5g490Bj,Barricades,Hiroyuki Sawano,anime,58,0.941,105.02,0.56,0.624,-4.894,{1},87
5087,38oTXP25IcZ5VlzQJFQuU2,"Running Up That Hill - Epic Version (from ""Stranger Things)",Samuel Kim,anime,61,0.718,107.978,0.151,0.488,-8.978,{1},111
5090,04TshWXkhV1qkqHzf31Hn6,Lemon,Kenshi Yonezu,anime,70,0.646,86.957,0.373,0.525,-4.963,{0},24
5091,6IqKFke4ZhKbGYULllEezY,Go Big or Go Home,ENHYPEN,anime,67,0.844,122.019,0.823,0.766,-3.993,{2},98
5092,6M2J8MffpkAQRjnF7xZ8BR,ムーンソング,[Alexandros],anime,0,0.919,134.014,0.658,0.538,-3.395,{2},98
5094,3TgPwLFXV6GEIsDZANHktY,Flicker,ENHYPEN,anime,63,0.761,85.149,0.549,0.656,-5.112,"{0, 1}",24
5096,6rsbsdiGDrYvhbb1K7ziTL,Guren no Yumiya Tv Size Ver.,Linked Horizon,anime,59,0.91,90.447,0.507,0.494,-6.016,{1},87
5098,27iksNpaur1CcH0w8703by,Shinzo wo Sasageyo! - TV Size,Linked Horizon,anime,61,0.953,79.959,0.612,0.435,-5.327,{0},87
5099,1alTFChaR599v3YgjecITE,閃光,[Alexandros],anime,0,0.971,104.083,0.473,0.546,-3.451,{1},87
5109,44ljoaRrogXke0S4U8iekW,FLY HIGH!!,BURNOUT SYNDROMES,anime,51,0.964,94.573,0.345,0.473,-1.48,{1},87
5110,6bPPyigCphBBQ9781j6eKM,COLORS,FLOW,anime,62,0.877,136.03,0.387,0.457,-4.229,{2},87
5112,543jStmHR1VrSfpxmjUIn6,フィクション,sumika,anime,64,0.94,122.992,0.694,0.658,-2.427,{2},98
5113,7k9D5GUqhn0Jf3kBnfgQJ6,沸き上がる闘志,MUSASHI PROJECT,anime,53,0.846,105.016,0.225,0.587,-7.749,{1},111
5115,4YycgLIc3P6oQRY5NiOybl,THE HERO !! 〜怒れる拳に火をつけろ〜,JAM Project,anime,61,0.967,130.175,0.177,0.467,-3.528,{2},87
5116,3J34JtfZNylVXSKN4TDf12,明け星,LiSA,anime,61,0.867,94.952,0.215,0.389,-3.604,{1},87
5121,0f0qeeE4JTRQpjj4fLUqsa,Senpai (feat. Hentai Dude),Shiki-TMNS;Hentai Dude,anime,60,0.782,83.504,0.61,0.749,-9.589,"{0, 1}",24
5128,03tNSODeYIc8v0UTEzVCcM,Hokage,Rustage;DizzyEight;Dreaded Yasuke;Savvy Hyuga;Connor Rapper;GameboyJones;None Like Joshua,anime,47,0.835,81.816,0.806,0.758,-4.581,"{0, 1}",98
5129,0kNkyCg59tcaSGyoC2ByTX,Bunny Thot,Khantrast,anime,62,0.848,134.894,0.572,0.71,-5.01,{2},98
5131,7CSTVNXkW2AbmNktlP1hi2,Touch off,UVERworld,anime,63,0.894,99.607,0.195,0.411,-3.815,{1},87
5132,01YYvokYa6Cmmk8lBf65iT,Running in Blind (Gojo Rap),Rustage;McGwire,anime,50,0.936,139.997,0.608,0.832,-4.206,{2},98
5133,5rKliwtmd9CXFQAjUECGdi,God Mode (Madara Rap),Rustage,anime,46,0.774,139.964,0.61,0.825,-4.757,{2},98
5134,2deb24yUrqgOVwGJjaIaYp,Blood (Alucard Rap),Rustage;TOPHAMHAT-KYO,anime,53,0.936,139.964,0.763,0.788,-3.479,{2},98
5139,5s0AxcVJJD2YYPstMb61ro,Goya No Machiawase,Hello Sleepwalkers,anime,60,0.959,94.277,0.571,0.406,-3.014,{1},87
5140,6RpBs7BsS9oiHKtzJXsMOS,ADAMAS,LiSA,anime,63,0.991,95.528,0.298,0.514,-1.768,{1},87
5143,6oSCR9n71tmwWL3GFb65Ec,Upper Side Dreamin’,ENHYPEN,anime,64,0.886,106.02,0.783,0.608,-3.027,{1},98
5152,0nUKU6e9COOCgO5tAUtlST,紅蓮華,LiSA,anime,56,0.979,135.001,0.31,0.544,-2.8,{2},87
5156,6MNY72T605kPIOH3hnioxu,Ref:rain,Aimer,anime,60,0.672,77.982,0.313,0.472,-4.297,{0},24
5157,7LVsLHXVLscS5xY7q50TLT,Koko de Iki wo Shite,eill,anime,54,0.76,107.007,0.796,0.671,-2.852,{1},98
5161,2vH8JFJKfkAgZs1GFlOzGh,Akatsuki no Requiem,Linked Horizon,anime,53,0.82,136.901,0.299,0.498,-6.288,{2},111
5162,7JPAO45DZOmN2bciVaBia5,世界は恋に落ちている,CHiCO with HoneyWorks,anime,58,0.884,130.061,0.456,0.627,-4.619,{2},98
5164,30WNOfFRiqgebO4eRkCii8,GO!!!,FLOW,anime,63,0.963,133.747,0.839,0.61,-4.451,{2},98
5165,44VYdLnwvhn1H1cfieb84a,Shinkai,Eve,anime,57,0.778,122.98,0.602,0.621,-3.818,{2},98
5166,0ac12GgX8LZK0VNC4N91o2,Yoku,Eve,anime,53,0.601,87.648,0.526,0.411,-6.837,{0},24
5167,6aLzDW8TlgccoWycY99mfU,I'm Toxic,Khantrast,anime,61,0.727,109.923,0.847,0.75,-8.445,{1},24
5170,1ZGmDs16vtSI0nlxDFljFK,PHOENIX,BURNOUT SYNDROMES,anime,58,0.947,137.124,0.656,0.493,-0.717,{2},87
5176,6ZfnEOoJxofI3tR28sr04S,The Raising Fighting Spirit,ACN Music.,anime,45,0.924,104.879,0.253,0.535,-4.536,{1},87
5178,6bfDSsy4wnpn6B0de8Qrbx,Good Morning World!,BURNOUT SYNDROMES,anime,58,0.953,95.574,0.595,0.486,-2.244,{1},87
5181,1sPt1dWvsRSet11IR1x2PJ,"The Very Very Very Strongest - Epic Version (from ""One Piece"")",Samuel Kim,anime,49,0.859,97.555,0.425,0.489,-7.783,{1},111
5182,4DEcayGdIhaeJBsWl1Chx1,Madara (Death),Rustage;Shofu;Jhbboss,anime,50,0.673,72.236,0.625,0.718,-7.766,{0},24
5187,5Wt0gIt7RrXz5mJj5pslLC,Zenitsu Theme V2 (Thunder Clap and Flash!),Samuel Kim,anime,49,0.803,116.896,0.202,0.507,-6.978,"{1, 2}",111
5190,5aanhLobXHQ8ODj2LBJ077,Canzoni preferite,Yugo Kanno,anime,59,0.79,106.961,0.7,0.661,-8.29,{1},111
5193,2j1r3ubqqxuoTFaPVnTV1j,ANIMA,ReoNa,anime,61,0.918,96.513,0.498,0.455,-4.503,{1},87
5195,0nh0uf3eB4JEjv4jQxj5eP,Go Big or Go Home,ENHYPEN,anime,58,0.844,122.019,0.823,0.766,-3.993,{2},98
5198,0xDVPc5W2jYqO6p9NisCI4,WALK THE LINE,ENHYPEN,anime,58,0.829,122.083,0.301,0.684,-6.082,{2},111
5205,3XKMO7tvyyUmxRvlJGhYQm,空に歌えば,amazarashi,anime,61,0.951,102.04,0.64,0.593,-1.335,{1},87
5208,3Qy7j6GkdY3ycf3E7dxfpJ,空と虚,sasanomaly,anime,56,0.756,103.987,0.848,0.671,-5.046,{1},98
5214,0wVjZVd9dwTdaHmtypsNr6,Torches,Aimer,anime,51,0.665,82.044,0.36,0.525,-6.579,{0},24
5215,7Cd17G3oNQ34OWUwS8ZxfR,Lemon,Kenshi Yonezu,anime,53,0.661,86.983,0.446,0.532,-4.924,{0},24
5219,1eVt09kwb5iUfKzHudH2cg,THE HERO !! 〜怒れる拳に火をつけろ〜,JAM Project,anime,50,0.962,130.078,0.189,0.47,-3.51,{2},87
5222,5tHp131qFB3T7e01x1xsO2,ODD FUTURE,UVERworld,anime,59,0.8,128.021,0.561,0.699,-4.717,{2},98
5223,5w65rfJaQDOQ0iAhOuQqiv,Irony,majiko,anime,53,0.658,89.987,0.538,0.659,-3.928,{0},24
5227,2uMNMcjjUz8oNIxjIu20qE,Habit,SEKAI NO OWARI,anime,75,0.85,117.968,0.912,0.749,-5.39,"{1, 2}",98
5230,30SnEjJH8HP0NgkJBom4Ab,Never Giving In (Ichigo Rap),Rustage;GoldenEMP,anime,42,0.806,74.986,0.62,0.691,-5.386,{0},98
5261,1xc9r9pgQ3CG7iViKPf0cQ,イマジネーション,SPYAIR,anime,57,0.938,101.922,0.589,0.481,-2.967,{1},87
5262,5tXOuIoDO0ZtGLijEOD6HZ,ODD FUTURE short ver.,UVERworld,anime,56,0.895,127.924,0.581,0.691,-4.3,{2},98
5267,7cPYSzsrl6imQkzeO1HZ9b,Koko de Iki wo Shite,eill,anime,53,0.747,107.029,0.811,0.668,-2.812,{1},98
5270,6Mq4q5OIMO25vBsKpFdlnH,朝が来る,Aimer,anime,57,0.92,83.117,0.246,0.335,-4.086,"{0, 1}",87
5272,6bLZ6JV1mAGz4xfS1ZwOMV,Always,ENHYPEN,anime,59,0.771,110.014,0.73,0.804,-3.836,"{1, 2}",98
5276,0MemW1DmggDpHBGH4GgiaS,Zero Eclipse,Hiroyuki Sawano,anime,51,0.756,134.011,0.334,0.637,-4.614,{2},98
5277,4UyTPpfDrZJj38mw0O9Dsf,Bounce Back (Luffy Rap),Rustage;Broken,anime,49,0.885,125.098,0.674,0.829,-3.672,{2},98
5284,1vpSPUyWEzmX8doyYdJ2TH,Naruto Theme Song Freestyle,Khantrast,anime,52,0.891,126.98,0.591,0.844,-2.161,{2},98
5293,0oTb9Mja359cFo49iAi3S8,空に笑えば,wacci,anime,41,0.746,82.039,0.504,0.542,-3.802,"{0, 1}",24
5294,15HNdxGKNCIO9pgaY4n7FU,Pretender,Official HIGE DANdism,anime,60,0.869,91.972,0.369,0.538,-3.464,{1},87
5304,1YvLvyEHEUv6xuablK3kpj,空と虚,sasanomaly,anime,55,0.751,103.976,0.833,0.669,-5.447,{1},98
5312,1b9mCpcERYd2ZNfyd0mTdG,L no Theme B,Hideki Taniuchi,anime,43,0.923,110.006,0.892,0.742,-6.316,"{1, 2}",98
5315,3NEuSQZbVmfQwRuDKol40Y,SPARK-AGAIN,Aimer,anime,58,0.946,90.068,0.502,0.399,-3.397,{1},87
5316,0yy8QwH9OOgeF3CBeUDguR,ODD FUTURE,UVERworld,anime,56,0.795,128.036,0.556,0.694,-4.649,{2},98
5320,6nSldBcfZmGhqQUv7gnM2A,"Luffy's Fierce Attack (from ""One Piece"")",Samuel Kim,anime,45,0.82,102.826,0.438,0.445,-7.538,{1},111
5321,2o6d0rAC9BAyPmgXnbXx1h,我武者羅 (TV size),CHiCO with HoneyWorks,anime,49,0.965,97.006,0.755,0.509,-3.007,{1},87
5323,2gLgkVniFLbKiklW4taLOj,Reason Living,SCREEN mode,anime,52,0.943,91.456,0.555,0.415,-2.531,{1},87
5324,5bsGv6kAydbH8VTW0xup9D,RESISTER,ASCA,anime,58,0.946,91.497,0.4,0.483,-3.059,{1},87
5325,5hGrVEE49LCkPibt2XTaGy,Sasuke,Rustage,anime,42,0.893,136.119,0.794,0.739,-3.701,{2},98
5326,5iPg9OCOa6Jv7Y9HLrtmxC,外道讃歌,FantasticYouth,anime,53,0.749,99.951,0.533,0.609,-3.373,{1},98
5333,2G7L5FwZ8icw0YTDb94zvH,Yellow Flash (Minato Rap),Rustage,anime,41,0.83,75.02,0.591,0.737,-4.767,{0},98
5338,2WL4gLW1R7smQwldZJZjPU,attack ON taian [TFSv],Hiroyuki Sawano,anime,47,0.807,125.008,0.171,0.547,-8.984,{2},111
5339,6zSXcvXQ8T74fXm72OpSOb,The Reluctant Heroes,Hiroyuki Sawano,anime,54,0.804,127.039,0.543,0.552,-7.233,{2},111
5343,6Y7T2mAP2197ouIdL3jlDc,Next Hokage (Naruto Rap) [feat. Ozzaworld],Rustage;OzzaWorld,anime,42,0.828,100.035,0.834,0.844,-5.346,{1},98
5346,7vVgN04eLKRBb7MW7pfOT0,Upper Side Dreamin’,ENHYPEN,anime,56,0.886,106.02,0.783,0.608,-3.027,{1},98
5348,11ZLv1ZO8hTOkCZqkQ1qCR,トリコになれ,Macaroni Empitsu,anime,41,0.865,128.138,0.848,0.68,-3.14,{2},98
5351,4VZoV9VDa9fbAu9bLNjJL3,This Is Revenge,Hiroaki Tsutsumi,anime,43,0.918,90.072,0.0856,0.36,-5.51,{1},87
5358,6xUBXdVdzs50AvqARndD1A,COLORS -CODE GEASS OPENING MIX-,FLOW,anime,53,0.815,136.072,0.638,0.524,-5.414,{2},98
5359,7gqdo2V29X9IA9yudvxu3O,Kuroi Light,Hideki Taniuchi,anime,42,0.857,109.959,0.816,0.722,-6.146,{1},98
5361,2fP2NoqPvzIVyAgSa1gIqJ,ダブルシャッフル,Nana Mizuki,anime,49,0.928,119.96,0.53,0.664,-3.811,"{1, 2}",98
5362,4cDm9C5jhBiIyYxVhQmMwB,往け,LiSA,anime,59,0.952,89.872,0.689,0.56,-2.579,"{0, 1}",87
5365,27kGlAZVLGtgbWSuCbxXge,奇術師のバイレ,Yoshihisa Hirano,anime,51,0.724,116.982,0.85,0.734,-11.339,{1},24
5367,6LoC0DAzeIET4iA9gXG2Ly,HERO A,Yuki Hayashi,anime,50,0.958,120.052,0.595,0.55,-5.292,{2},87
5368,4EG10OLde2d8EisbYoKTuZ,三原色,PELICAN FANCLUB,anime,56,0.853,100.002,0.697,0.433,-4.237,{1},87
5370,3dUXPkCP34x762v8cOJTRt,Let's Ride,Khantrast,anime,61,0.75,128.031,0.568,0.765,-7.375,{2},98
5371,6tP2bYIUMcDFn9Zfs9ZAE4,青100色,伊藤美来,anime,51,0.875,119.962,0.645,0.713,-1.098,"{1, 2}",98
5376,0ZI3aicZbWYG1256Oh7LP3,Kai's Theme,Samuel Kim,anime,46,0.63,65.546,0.328,0.299,-8.499,{0},24
5378,34o9rDFXv6bFX5qtkySnRQ,Counter Attack-Mankind,Hiroyuki Sawano,anime,48,0.849,110.009,0.185,0.345,-9.816,"{1, 2}",111
5380,3ZYKbGJ6I5adT5ozf0N6OH,Lucky Ending,Vickeblanka,anime,45,0.611,82.98,0.452,0.598,-5.116,{0},24
5382,2lFAT6fkTsV7eHVkhhlfq5,Attack on Titan Theme,Samuel Kim,anime,45,0.754,125.008,0.148,0.268,-6.871,{2},111
5386,0tDHM4GNTWj7YAl78SrynH,Power of Mujin Park,桶狭間ありさ,anime,46,0.817,100.002,0.605,0.517,-7.592,{1},111
5387,278JqkBGkjDovOYAwE8TW7,115万キロのフィルム,Official HIGE DANdism,anime,72,0.791,96.921,0.48,0.516,-1.927,{1},87
5388,3VB2Q9iWutZLTiBYNcNFHO,Make my story,Lenny code fiction,anime,56,0.942,132.029,0.823,0.531,-3.835,{2},98
5389,15nEiRiNxBfosTnZeKB952,Red (Uchiha Rap) [feat. Khantrast],Rustage;Khantrast,anime,44,0.924,139.928,0.496,0.801,-3.704,{2},98
5391,7LqQO6uWQHDEue1ejeUVhF,Rising Hope,LiSA,anime,57,0.978,94.703,0.647,0.547,-2.732,{1},87
5396,50gGbwyhgqBWs3azE7ZWkm,Resident Evil Rap,Zarcort,anime,39,0.808,92.011,0.838,0.811,-7.112,{1},98
5397,3y7rAWPbsbUpjbqGFxIAww,Adán vs Zeus Rap,MegaR;Kballero Rap,anime,39,0.855,85.995,0.409,0.63,-7.225,"{0, 1}",111
5398,5IS7RD9LIEracUSlTZvHQy,たましいの居場所,Macaroni Empitsu,anime,40,0.827,103.434,0.731,0.643,-4.531,{1},98
5403,4SupI9OXg3hwrymR85hkhL,Signal,TK from Ling tosite sigure,anime,49,0.91,83.408,0.303,0.433,-2.547,"{0, 1}",87
5404,0UGqF8JS1529GlEN1WSzAi,Tokyo Revengers -Main Theme-,Hiroaki Tsutsumi,anime,41,0.929,95.019,0.243,0.449,-5.914,{1},87
5405,4o1s691Qn6lUmFh1Bl28NG,BANG!!!,EGOIST,anime,54,0.94,137.02,0.783,0.625,-0.643,{2},98
5406,0LL0hFBywgFHO89WSp00xW,魔法,Myuk,anime,49,0.634,88.004,0.449,0.609,-5.669,{0},24
5413,7b7QqKepv8wY6VopSmQqX8,No.1,DISH//,anime,55,0.878,90.492,0.621,0.495,-4.3,{1},87
5418,6NAtVhZ5LrvoKy2Gijr5gj,スターマーカー (Album Mix),KANA-BOON,anime,57,0.872,134.047,0.808,0.502,-3.449,{2},98
5419,3JU0jK3U02MQTNXCmg4Fav,輝夜の城で踊りたい,μ's,anime,37,0.96,135.044,0.641,0.57,-3.381,{2},87
5420,5gUxxioIeJdr61AgjVYznI,Death Note Freestyle,Khantrast;Musicality,anime,44,0.765,139.942,0.382,0.799,-7.729,{2},111
5421,7kiWVIA95A2H7TMYSrA0b5,Hands Up to the Sky,SawanoHiroyuki[nZk];Laco,anime,55,0.721,97.992,0.525,0.708,-3.815,{1},24
5423,5n7Sp2uHvRWbKYU1KIqaNA,シンデレラ,Cidergirl,anime,55,0.941,129.988,0.769,0.58,-3.799,{2},98
5424,7kkT0Z4U36CLd8uhnQ9SMs,Alone,Kato,anime,43,0.617,79.964,0.0868,0.523,-7.76,{0},24
5427,7AqUE5AY514dbzeOAfJRa0,LOSER,Kenshi Yonezu,anime,62,0.931,121.001,0.962,0.679,-3.74,{2},98
5428,6GqMQUzxuTG88y5WZ0HYLr,Diamond is unbreakable - Main Theme,Yugo Kanno,anime,56,0.897,129.929,0.526,0.562,-4.882,{2},98
5434,3xGTUo0WtGSwCSxLIhCn0r,Always,ENHYPEN,anime,53,0.772,109.926,0.731,0.799,-3.812,{1},98
5435,6XpSedmiXs5PIfMzWhsPsV,HALLOWEEN PARTY - プペル Ver.,HYDE,anime,0,0.959,112.073,0.35,0.506,-5.532,"{1, 2}",111
5442,5SIvk89WNJKsl02ojARSYh,LAST STARDUST,Aimer,anime,56,0.845,121.963,0.223,0.473,-5.13,{2},111
5443,3tGXnGvZpT4fzua650wrRh,Merry-Go-Round,MAN WITH A MISSION,anime,56,0.914,119.971,0.451,0.591,-5.617,"{1, 2}",98
5449,4DRkwIkys7VdAKBp31iUT2,Garou Miedo Cósmico Rap. El Puño de Dios,MegaR;Nyako,anime,38,0.877,90.248,0.543,0.535,-9.381,{1},111
5453,6dQ3lcQG2MuIQ0P7GSYQeJ,季節は次々死んでいく,amazarashi,anime,54,0.897,90.517,0.459,0.545,-3.983,{1},87
5455,2x9mxZswDySC1QOFFH09q7,NARUTO Main Theme'16,Yasuharu Takanashi;YAIBA,anime,42,0.839,124.97,0.514,0.57,-9.194,{2},111
5456,6aW8fq5lGlhoZxhLyC7JuL,闇夜,Eve,anime,50,0.637,79.821,0.23,0.444,-3.73,{0},24
5469,3Zj9WSEjueL8UecCOC67tT,SAKURA BURST (Naeleck Remix) - SACRA BEATS Singles,Cö Shu Nie;Naeleck,anime,49,0.809,130.003,0.158,0.793,-4.267,{2},98
5479,1PqKMCb7VJmOACIKLnzaKH,残酷な天使のテーゼ<Director's Edit. Version>,Yoko Takahashi,anime,36,0.791,128.132,0.42,0.586,-5.107,{2},111
5483,1HHOkD7fuNCBnImFrlDRVi,決戦スピリット,CHiCO with HoneyWorks,anime,56,0.952,94.026,0.352,0.579,-2.678,{1},87
